Date,EdgeConnctionStatus ,Health,PVPressure,QVTemperature,Timestamp,Time,timestamp
07-10-2019,4,0,0,0,01-01-1997 00:00,08:00,09-07-2019 22:00:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,08:20,09-07-2019 22:20:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,08:40,09-07-2019 22:40:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,09:00,09-07-2019 23:00:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,09:20,09-07-2019 23:20:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,09:40,09-07-2019 23:40:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,10:00,10-07-2019 00:00:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,10:17,10-07-2019 00:17:51.200000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,10:20,10-07-2019 00:20:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,10:40,10-07-2019 00:40:00.000000Z
07-10-2019,4,0,0,0,01-01-1997 00:00,10:41,10-07-2019 00:41:25.600000Z
07-10-2019,4,0,0,0,00:00 01-01-1997,11:00,10-07-2019 01:00:00.000000Z
0,0,0,00:00 01-01-1997,10-07-2019 01:01:14.200000Z
0,0,0,00:00 01-01-1997,10-07-2019 01:15:39.600000Z
0,0,0,00:00 01-01-1997,10-07-2019 01:20:00.000000Z
0,0,0,00:00 01-01-1997,10-07-2019 01:25:36.800000Z
0,0,0,00:00 01-01-1997,10-07-2019 01:40:00.000000Z
0,0,0,00:00 01-01-1997,10-07-2019 01:47:54.400000Z
0,0,0,00:00 01-01-1997,10-07-2019 01:52:35.400000Z
0,0,0,00:00 01-01-1997,10-07-2019 02:00:00.000000Z
