Date,EdgeConnctionStatus ,PrawnFarm.GlassImpedence_Status,PrawnFarm.GlassImpedence_Unit,PrawnFarm.GlassImpedence_Value ,PrawnFarm.pH_Diagnostic,PrawnFarm.pH_NE107Status,PrawnFarm.pH_Status,PrawnFarm.pH_Unit,PrawnFarm.pH_Value,PrawnFarm.Temperature_Status,PrawnFarm.Temperature_Unit,PrawnFarm.Temperature_Value,Time,timestamp
07-10-2019,4,0,66,868,0,0,0,53,7.1561,0,89,22.5,08:00,09-07-2019 22:00:00.000000Z
07-10-2019,4,0,66,1044,0,0,0,53,7.1594,0,89,22.73,08:05,09-07-2019 22:05:00.000000Z
07-10-2019,4,0,66,1003,0,0,0,53,7.1561,0,89,22.59,08:10,09-07-2019 22:10:00.000000Z
07-10-2019,4,0,66,1120,0,0,0,53,7.1563,0,89,22.24,08:15,09-07-2019 22:15:00.000000Z
07-10-2019,4,0,66,952,0,0,0,53,7.1596,0,89,22.48,08:20,09-07-2019 22:20:00.000000Z
07-10-2019,4,0,66,877,0,0,0,53,7.1559,0,89,22.94,08:25,09-07-2019 22:25:00.000000Z
07-10-2019,4,0,66,892,0,0,0,53,7.1526,0,89,22.73,08:30,09-07-2019 22:30:00.000000Z
07-10-2019,4,0,66,966,0,0,0,53,7.1577,0,89,22.82,08:35,09-07-2019 22:35:00.000000Z
07-10-2019,4,0,66,1001,0,0,0,53,7.1542,0,89,22.94,08:40,09-07-2019 22:40:00.000000Z
07-10-2019,4,0,66,949,0,0,0,53,7.1544,0,89,22.54,08:45,09-07-2019 22:45:00.000000Z
07-10-2019,4,0,66,960,0,0,0,53,7.1579,0,89,22.47,08:50,09-07-2019 22:50:00.000000Z
07-10-2019,4,0,66,1020,0,0,0,53,7.1576,0,89,22.94,08:55,09-07-2019 22:55:00.000000Z
07-10-2019,4,0,66,902,0,0,0,53,7.1543,0,89,22.72,09:00,09-07-2019 23:00:00.000000Z
07-10-2019,4,0,66,904,0,0,0,53,7.1577,0,89,22.82,09:05,09-07-2019 23:05:00.000000Z
07-10-2019,4,0,66,813,0,0,0,53,7.1542,0,89,22.92,09:10,09-07-2019 23:10:00.000000Z
07-10-2019,4,0,66,1031,0,0,0,53,7.1544,0,89,22.57,09:15,09-07-2019 23:15:00.000000Z
07-10-2019,4,0,66,956,0,0,0,53,7.1594,0,89,22.71,09:20,09-07-2019 23:20:00.000000Z
07-10-2019,4,0,66,919,0,0,0,53,7.1542,0,89,22.95,09:25,09-07-2019 23:25:00.000000Z
07-10-2019,4,0,66,1020,0,0,0,53,7.1543,0,89,22.7,09:30,09-07-2019 23:30:00.000000Z
07-10-2019,4,0,66,931,0,0,0,53,7.1594,0,89,22.82,09:35,09-07-2019 23:35:00.000000Z
07-10-2019,4,0,66,920,0,0,0,53,7.1573,0,89,23.53,09:40,09-07-2019 23:40:00.000000Z
07-10-2019,4,2,66,804,100,1,2,53,0,2,89,0,09:45,09-07-2019 23:45:00.000000Z
07-10-2019,4,2,66,804,100,1,2,53,0,2,89,0,09:50,09-07-2019 23:50:00.000000Z
07-10-2019,4,2,66,804,100,1,2,53,0,2,89,0,09:55,09-07-2019 23:55:00.000000Z
07-10-2019,4,2,66,804,100,1,2,53,0,2,89,0,10:00,10-07-2019 00:00:00.000000Z
07-10-2019,4,0,66,1530,0,0,0,53,7.1695,0,89,14.03,10:17,10-07-2019 00:17:51.200000Z
07-10-2019,4,0,66,1545,0,0,0,53,7.1696,0,89,13.91,10:20,10-07-2019 00:20:00.000000Z
07-10-2019,4,0,66,1626,0,0,0,53,7.1697,0,89,13.8,10:25,10-07-2019 00:25:00.000000Z
07-10-2019,4,0,66,1535,0,0,0,53,7.1697,0,89,13.67,10:30,10-07-2019 00:30:00.000000Z
07-10-2019,4,0,66,1580,0,0,0,53,7.1715,0,89,13.62,10:35,10-07-2019 00:35:00.000000Z
07-10-2019,4,0,66,1622,0,0,0,53,7.1716,0,89,13.55,10:40,10-07-2019 00:40:00.000000Z
